grade,home_ownership,verification_status,purpose,term,emp_length,int_rate,delinq_2yrs,inq_last_6mths,open_acc,total_acc,acc_now_delinq,total_rev_hi_lim,annual_inc,dti,mths_since_last_delinq,not_default
D,MORTGAGE,Verified,credit_card, 60 months,,17.86,0,0,7,13,0,20200,38000,15.82,74,1
D,RENT,Not Verified,debt_consolidation, 36 months,2 years,18.25,0,2,6,11,0,8400,33500,25.98,,1
C,MORTGAGE,Verified,debt_consolidation, 36 months,10+ years,14.64,1,5,12,39,0,37100,160000,21.87,20,1
C,MORTGAGE,Verified,debt_consolidation, 36 months,10+ years,12.99,0,2,25,50,0,92800,450000,7.13,,1
F,OWN,Not Verified,debt_consolidation, 60 months,10+ years,24.08,1,0,9,31,0,98800,60000,14.56,4,1
C,MORTGAGE,Verified,debt_consolidation, 36 months,7 years,15.22,2,0,18,38,0,45200,200000,15.31,13,0
C,MORTGAGE,Not Verified,debt_consolidation, 36 months,10+ years,13.98,1,0,12,15,0,20400,84000,7.06,12,1
C,RENT,Not Verified,debt_consolidation, 36 months,4 years,14.35,0,0,6,12,0,,72000,9.9,30,0
C,MORTGAGE,Source Verified,debt_consolidation, 60 months,5 years,14.49,0,1,10,17,0,27700,160000,10.14,,1
D,RENT,Source Verified,credit_card, 60 months,3 years,15.61,0,1,13,42,0,28400,62000,16.43,,1
A,MORTGAGE,Not Verified,debt_consolidation, 36 months,7 years,7.69,0,0,10,27,0,36400,80000,20.6,,1
D,RENT,Source Verified,credit_card, 36 months,3 years,18.49,0,1,9,13,0,10900,34000,21.25,,0
C,MORTGAGE,Source Verified,debt_consolidation, 60 months,10+ years,15.61,0,1,18,28,0,23200,52800,16.41,25,1
C,MORTGAGE,Source Verified,debt_consolidation, 60 months,2 years,16.2,1,0,11,31,0,24100,60000,15.18,2,1
F,MORTGAGE,Verified,debt_consolidation, 60 months,1 year,23.43,1,0,8,23,0,178400,85000,20.98,16,1
D,OWN,Not Verified,debt_consolidation, 36 months,10+ years,18.75,0,0,9,13,0,12500,36000,16.33,,1
C,RENT,Not Verified,debt_consolidation, 36 months,10+ years,13.35,1,0,11,33,0,6400,75000,16.05,9,1
B,MORTGAGE,Source Verified,credit_card, 60 months,10+ years,12.49,0,3,14,27,0,41900,75000,9.26,58,1
D,RENT,Verified,other, 36 months,,16.99,0,3,10,14,0,5800,46000,26.45,,1
B,MORTGAGE,Verified,other, 36 months,5 years,12.12,0,0,9,15,0,,60845,22.52,,0
C,RENT,Source Verified,debt_consolidation, 36 months,< 1 year,15.61,0,0,10,10,0,18800,78000,11.46,,1
E,MORTGAGE,Verified,debt_consolidation, 60 months,9 years,21.98,0,0,11,27,0,15100,62000,24.03,,1
C,OWN,Verified,debt_consolidation, 36 months,5 years,14.64,0,1,11,29,0,10600,38400,23.53,78,1
C,RENT,Verified,debt_consolidation, 60 months,10+ years,13.49,0,3,6,28,0,,67000,25.9,,1
B,MORTGAGE,Verified,house, 60 months,1 year,10.16,0,0,13,38,0,,130000,16.28,,1
A,OWN,Source Verified,debt_consolidation, 36 months,10+ years,7.12,0,1,5,15,0,35800,24000,30.2,,1
D,OWN,Source Verified,credit_card, 60 months,4 years,19.52,1,0,15,51,0,19300,93000,11.36,12,1
B,RENT,Source Verified,debt_consolidation, 60 months,< 1 year,12.49,0,0,11,19,0,16200,36000,14.33,44,1
B,RENT,Verified,debt_consolidation, 36 months,1 year,10.65,0,0,8,12,0,,40000,18.63,,1
A,OWN,Source Verified,credit_card, 36 months,10+ years,7.9,0,1,5,18,0,14300,67789.84,8.25,37,0
A,MORTGAGE,Verified,house, 36 months,10+ years,7.62,0,2,7,18,0,,52000,13.41,,1
C,MORTGAGE,Source Verified,credit_card, 60 months,7 years,14.31,0,2,9,28,0,23100,48000,13.25,,1
B,MORTGAGE,Source Verified,debt_consolidation, 36 months,5 years,13.67,0,1,14,21,0,,41000,20.84,,0
A,MORTGAGE,Not Verified,credit_card, 36 months,9 years,8.9,0,0,4,4,0,13700,85000,8.3,,0
D,RENT,Not Verified,other, 36 months,10+ years,15.61,0,1,10,10,0,10500,32500,15.58,,1
A,MORTGAGE,Source Verified,debt_consolidation, 36 months,10+ years,7.9,0,0,10,28,0,71600,55000,8.47,72,1
B,RENT,Source Verified,debt_consolidation, 36 months,10+ years,13.11,0,0,14,22,0,14600,82000,15.45,47,1
C,RENT,Verified,debt_consolidation, 60 months,1 year,16.78,0,0,14,25,0,27100,106150,16.53,,1
B,OWN,Not Verified,debt_consolidation, 36 months,7 years,10.49,0,1,16,33,0,104300,75000,18.56,,1
D,MORTGAGE,Source Verified,debt_consolidation, 36 months,10+ years,16.29,0,0,15,40,0,16100,24000,36.1,29,1
B,MORTGAGE,Not Verified,debt_consolidation, 36 months,1 year,11.67,1,1,15,33,0,23900,65000,18.98,16,1
A,MORTGAGE,Not Verified,debt_consolidation, 36 months,10+ years,7.14,0,0,14,20,0,,74880,19.7,,1
C,MORTGAGE,Not Verified,debt_consolidation, 36 months,10+ years,15.8,0,3,13,18,0,9400,65000,15.25,54,1
B,MORTGAGE,Verified,debt_consolidation, 36 months,10+ years,12.12,0,0,6,18,0,22800,50000,24.05,72,1
D,MORTGAGE,Source Verified,other, 36 months,< 1 year,17.57,0,0,14,28,0,25900,60000,27.02,45,1
A,RENT,Verified,credit_card, 36 months,10+ years,7.9,0,3,11,14,0,13000,45000,4.37,,1
B,RENT,Verified,credit_card, 36 months,10+ years,9.17,0,1,14,41,0,41300,118000,31,44,1
B,OWN,Not Verified,debt_consolidation, 36 months,4 years,12.18,0,0,8,13,0,,78000,19.88,,1
A,MORTGAGE,Not Verified,credit_card, 36 months,10+ years,8.19,0,0,11,33,0,42700,40000,11.64,,1
B,RENT,Source Verified,credit_card, 36 months,3 years,10.99,0,0,5,14,0,13500,70000,15.7,,0
D,RENT,Verified,credit_card, 36 months,1 year,16.99,0,1,4,5,0,8500,20400,7.81,,1
D,MORTGAGE,Verified,credit_card, 60 months,< 1 year,17.57,0,0,8,25,0,35600,60000,15.66,,0
D,RENT,Verified,credit_card, 60 months,10+ years,18.25,0,0,8,21,0,44800,80000,11.6,30,1
B,OWN,Verified,debt_consolidation, 60 months,10+ years,13.11,2,0,10,26,0,14900,103000,12.77,16,0
